No,Tình,Tên cụm,Loại cụm,Mô tả,Một số điểm trong cụm,Tiếp giáp
45,Đồng Tháp,Cao Lãnh,Cụm nhỏ,"Thăm khu di tích thân sinh Bác Hồ, thám hiểm di tích chiến khu căn cứ Rừng Tràm và thưởng thức ẩm thực đồng quê.","Các điểm đến thuộc cụm:

Khu di tích Cụ Phó bảng Nguyễn Sinh Sắc

Khu di tích Lịch sử Xẻo Quýt

Khu du lịch sinh thái Mỹ Phước Thành

Bảo tàng Đồng Tháp

Văn Miếu Đồng Tháp

Cù lao Tân Thuận Đông

Chợ Cao Lãnh

Chùa Hòa Long","Cụm Sa Đéc

Cụm Cái Bè

Cụm Tràm Chim

Cụm Tháp Mười"
46,Đồng Tháp,Sa Đéc,Cụm lớn,"Ngoạn cảnh thủ phủ hoa kiểng miền Tây, tham quan nhà cổ di sản thế giới và trải nghiệm các làng nghề truyền thống.","Các điểm đến thuộc cụm:

Làng hoa Sa Đéc (Tân Quy Đông)

Nhà cổ Huỳnh Thủy Lê

Chùa Kiến An Cung (Chùa Ông Quách)

Chùa Kim Huê

Khu du lịch Happyland Hung Thy

Chùa Phước Kiển (Chùa Lá Sen - Châu Thành)

Vườn quýt hồng Lai Vung

Làng nghề nem Lai Vung

Chợ chiếu Định Yên (Lấp Vò)

Công viên Sa Đéc","Cụm Cao Lãnh

Cụm Cái Bè"
47,Đồng Tháp,Tràm Chim,Cụm nhỏ,"Thám hiểm Khu Ramsar ngập nước thế giới, ngắm Sếu đầu đỏ và du lịch sinh thái làng nghề biên giới.","Các điểm đến thuộc cụm:

Vườn quốc gia Tràm Chim (Tam Nông)

Cửa khẩu Quốc tế Thường Phước (Hồng Ngự)

Làng nghề dệt choàng Long Khánh (Hồng Ngự)

Cù lao Long Khánh (Hồng Ngự)

Chợ biên giới Mộc Hoá - Tân Hồng","Cụm Cao Lãnh

Cụm Tháp Mười

Cụm Tân Lập (Long An)"
48,Đồng Tháp,Tháp Mười,Cụm nhỏ,"Thám hiểm di chỉ khảo cổ văn hóa Óc Eo, hòa mình vào cánh đồng sen bao la và du lịch sinh thái tràm sen.","Các điểm đến thuộc cụm:

Khu di tích Quốc gia đặc biệt Gò Tháp

Đồng Sen Tháp Mười (Mỹ Hòa)

Khu du lịch sinh thái Tràm Sen

Chùa Tháp Mười

Chợ quê Gò Tháp","Cụm Cao Lãnh

Cụm Tràm Chim

Cụm Tân Lập (Long An)"
49,An Giang,Phú Quốc,Cụm lớn,"Thiên đường nghỉ dưỡng biển đảo cao cấp, tổ hợp giải trí chủ đề quốc tế, khám phá sinh thái biển và di sản lịch sử.","Các điểm đến thuộc cụm:

VinWonders Phú Quốc

Vinpearl Safari Phú Quốc

Grand World Phú Quốc

Sun World Hòn Thơm (Cáp treo Hòn Thơm)

Bãi Sao

Bãi Khem

Bãi Dài

Bãi Trường

Làng chài Hàm Ninh

Dinh Cậu & Dinh Bà

Thiền viện Trúc Lâm Hộ Quốc (Chùa Hộ Quốc)

Di tích Lịch sử Nhà tù Phú Quốc

Mũi Gành Dầu

Bãi Rạch Vẹm (Bãi sao biển)

Hòn Mây Rút

Hòn Móng Tay

Hòn Gầm Ghì

Suối Tranh

Suối Đá Bàn

Chợ đêm Phú Quốc

Vườn quốc gia Phú Quốc",Kết nối đường thủy và đường hàng không với Cụm Hà Tiên và Cụm Rạch Giá.
50,An Giang,Hà Tiên,Cụm lớn,"Tham quan di sản danh thắng ""Hà Tiên thập cảnh"", du lịch văn hóa lịch sử, ẩm thực vùng biên và mua sắm cửa khẩu.","Các điểm đến thuộc cụm:

Danh thắng Núi Đá Dựng

Thạch Động

Bãi biển Mũi Nai

Núi Tô Châu

Khu di tích Lăng Mạc Cửu

Đầm Đông Hồ

Bãi Bàng Hà Tiên

Chùa Tam Bảo (Hà Tiên)

Chùa Phù Dũng

Chợ đêm Hà Tiên

Cửa khẩu Quốc tế Hà Tiên","Cụm Kiên Lương

Cụm Tịnh Biên (An Giang)

Cụm Phú Quốc (đường thủy)"
51,An Giang,Kiên Lương,Cụm nhỏ,"Khám phá quần đảo hoang sơ ""Vịnh Hạ Long phương Nam"", chiêm bái di tích thắng cảnh ven biển và địa đạo núi đá.","Các điểm đến thuộc cụm:

Quần đảo Bà Lụa (Ba Hòn Đầm)

Danh thắng Chùa Hang - Hòn Phụ Tử

Danh thắng Núi Mo So

Đảo Hòn Nghệ

Hang Tiền

Khu di tích Lịch sử Hòn Đất (Mộ Chị Sứ)","Cụm Hà Tiên

Cụm Rạch Giá

Cụm Tịnh Biên (An Giang)

Cụm Tri Tôn (An Giang)"
52,An Giang,Rạch Giá,Cụm lớn,"Trải nghiệm đô thị biển lấn biển hiện đại, du lịch tâm linh anh hùng dân tộc và đầu mối giao thông đường thủy.","Các điểm đến thuộc cụm:

Đền thờ Anh hùng dân tộc Nguyễn Trung Trực

Khu đô thị lấn biển Rạch Giá

Chùa Tam Bảo (Rạch Giá)

Chùa Quan Đế

Bến tàu du lịch Rạch Giá

Công viên An Hòa

Bảo tàng Kiên Giang

Chợ Rạch Giá","Cụm Kiên Lương

Cụm U Minh Thượng

Cụm Long Xuyên (An Giang)

Cụm Thoại Sơn (An Giang)

Cụm Phú Quốc & Cụm Nam Du (đường thủy)"
53,An Giang,Nam Du,Cụm nhỏ,"Thám hiểm quần đảo hoang sơ, trekking đỉnh núi giữa biển, lặn ngắm san hô và thưởng thức hải sản bãi biển.","Các điểm đến thuộc cụm:

Quần đảo Nam Du (Hòn Lớn, Bãi Cây Mến, Bãi Ngự, Hòn Dầu, Hòn Ngang, Hòn Mẫu)

Đảo Hòn Sơn / Lại Sơn (Bãi Bàng Hòn Sơn, Đỉnh Ma Thiên Lãnh Hòn Sơn)

Đảo Hòn Tre",Kết nối qua đường thủy với Cụm Rạch Giá.
54,An Giang,U Minh Thượng,Cụm nhỏ,Thám hiểm rừng tràm ngập nước đặc dụng trên đầm lầy than đa dạng sinh học và di tích căn cứ cách mạng.,"Các điểm đến thuộc cụm:

Vườn quốc gia U Minh Thượng

Hồ Hoa Mai

Căn cứ Lịch sử Cạnh Đền

Trang trại sinh thái U Minh Thượng",Cụm Rạch Giá
55,An Giang,Châu Đốc,Cụm lớn,"Hành hương trung tâm tâm linh lớn nhất Nam Bộ, tham quan di sản văn hóa Chăm sông nước và ẩm thực mắm miền Tây.","Các điểm đến thuộc cụm:

Miếu Bà Chúa Xứ Núi Sam

Quần thể Núi Sam

Chùa Tây An

Lăng Thoại Ngọc Hầu

Chùa Hang (Phước Điền Tự)

Làng chài nổi Châu Đốc

Làng Chăm Châu Giang

Thánh đường Mubarak

Bến tàu du lịch Châu Đốc","Cụm Tịnh Biên

Cụm Long Xuyên

Cụm Cao Lãnh (Đồng Tháp)"
56,An Giang,Tịnh Biên,Cụm nhỏ,"Thám hiểm hệ sinh thái rừng tràm ngập nước Trà Sư, hành hương ""Đà Lạt miền Tây"" trên đỉnh Núi Cấm và mua sắm biên giới.","Các điểm đến thuộc cụm:

Rừng tràm Trà Sư

Quần thể Núi Cấm (Hồ Thủy Liêm, Tượng Phật Di Lặc, Chùa Vạn Linh, Cáp treo Núi Cấm)

Chợ Tịnh Biên

Cửa khẩu Quốc tế Tịnh Biên

Chùa Kà Dy

Danh thắng Núi Két (Anh Vũ Sơn)","Cụm Châu Đốc

Cụm Tri Tôn

Cụm Hà Tiên (Kiên Giang)

Cụm Kiên Lương (Kiên Giang)"
57,An Giang,Tri Tôn,Cụm nhỏ,"Ngoạn cảnh hồ trên núi kỳ thú, check-in văn hóa Phật giáo Khmer cổ kính, núi đá huyền bí và thưởng thức ẩm thực đặc sản.","Các điểm đến thuộc cụm:

Hồ Tà Pạ & Chùa Tà Pạ

Cánh đồng Tà Pạ (Cây thốt nốt trái tim)

Núi Cô Tô (Phụng Hoàng Sơn) & Hồ Soài So

Hồ Ô Thum (Thưởng thức Gà đốt Ô Thum)

Chùa Xà Tón (Chùa Svayton)

Di tích Lịch sử Đồi Tức Dúp","Cụm Tịnh Biên

Cụm Thoại Sơn

Cụm Kiên Lương (Kiên Giang)"
58,An Giang,Thoại Sơn,Cụm nhỏ,"Thám hiểm di chỉ khảo cổ Quốc gia đặc biệt Văn hóa Óc Eo - Ba Thê, vãn cảnh quần thể hồ núi đá và thiền viện tâm linh.","Các điểm đến thuộc cụm:

Khu di tích Quốc gia đặc biệt Óc Eo - Ba Thê (Núi Ba Thê)

Khu du lịch Hồ Ông Thoại (Núi Sập)

Thiền viện Trúc Lâm An Giang

Đền thờ Thoại Ngọc Hầu (Thoại Sơn)

Lòng Hồ Núi Sập","Cụm Tri Tôn

Cụm Long Xuyên

Cụm Rạch Giá (Kiên Giang)"
59,An Giang,Long Xuyên,Cụm nhỏ,"Trải nghiệm du lịch sông nước cù lao, thăm khu di tích Chủ tịch Tôn Đức Thắng, chợ nổi truyền thống và di sản văn hóa đô thị.","Các điểm đến thuộc cụm:

Khu lưu niệm Chủ tịch Tôn Đức Thắng (Cù lao Ông Hổ)

Chợ nổi Long Xuyên

Nhà thờ Chánh tòa Long Xuyên

Bảo tàng An Giang

Công viên & Hồ Nguyễn Du

Chùa Ông Bắc","Cụm Châu Đốc

Cụm Thoại Sơn

Cụm Sa Đéc (Đồng Tháp)

Cụm Rạch Giá (Kiên Giang)"
60,Vĩnh Long,Bến Tre,Cụm lớn,"Trải nghiệm sinh thái sông nước xứ dừa, đi xuồng chèo kênh rạch, thám hiểm các cù lao cù nổi trên sông Tiền, tham quan làng nghề kẹo dừa và thưởng thức ẩm thực dừa đặc sắc.","• Thành phố Bến Tre

• Cồn Phụng (Khu di tích Đạo Dừa - Châu Thành)

• Cồn Quy

• Cồn Ốc

• Khu du lịch sinh thái Lan Vương

• Khu du lịch Hạ Thảo

• Di tích Lịch sử Quốc gia Đặc biệt Đồng Khởi (Định Thủy - Mỏ Cày Nam)

• Chùa Viên Minh

• Chợ Bến Tre

• Bảo tàng Bến Tre

• Chùa Tôn Thạnh","Chợ Lách, Ba Tri, Vĩnh Long, Mỹ Tho (Tiền Giang)"
61,Vĩnh Long,Chợ Lách,Cụm nhỏ,"Khám phá ""Thủ phủ cây giống & hoa kiểng"" lớn nhất miền Tây, thưởng thức vựa trái cây Cái Mơn ngút ngàn, tham quan nhà cổ Nam Bộ và du lịch miệt vườn cù lao.","• Vùng hoa kiểng & Cây giống Chợ Lách

• Vườn trái cây Cái Mơn

• Bia kỷ niệm Nhà bác học Trương Vĩnh Ký

• Nhà thờ Cái Mơn

• Cù lao Phú Đa (Cồn Nổi - Chợ Lách)

• Vườn sầu riêng & chôm chôm Chợ Lách

• Nhà cổ Huỳnh Đình Hai

• Cồn Sỏi","Bến Tre, Vĩnh Long, Tiền Giang"
62,Vĩnh Long,Ba Tri,Cụm nhỏ,"Hành hương Di tích Quốc gia Đặc biệt danh nhân Nguyễn Đình Chiểu, khám phá sân chim hoang dã, tắm biển sinh thái Cồn Bửng và di tích bến tàu Không số lịch sử.","• Khu di tích Quốc gia Đặc biệt Nhà thơ Nguyễn Đình Chiểu (Ba Tri)

• Sân chim Vàm Hồ (Ba Tri)

• Bãi biển Cồn Bửng (Thạnh Phú)

• Di tích Lịch sử Quốc gia Đường Hồ Chí Minh trên biển (Thạnh Phú)

• Lăng Ông Nam Hải (Ba Tri)

• Mộ nhà giáo Võ Trường Toản

• Chùa Tuyên Linh","Bến Tre, Trà Vinh"
63,Vĩnh Long,Vĩnh Long,Cụm lớn,"Du lịch sinh thái cù lao sông Cổ Chiên, trải nghiệm homestay nhà vườn Nam Bộ, check-in di sản ""Vương quốc gạch gốm"" Mang Thít, thăm các di tích danh nhân lịch sử và chùa cổ.","• Thành phố Vĩnh Long

• Cù lao An Bình (Khu du lịch Vinh Sang, Nhà cổ Bonsai Sáu Giáo, Vườn trái cây Tám Hổ)

• Vương quốc Gạch Gốm Mang Thít (Di sản Đương đại Mang Thít)

• Văn Thánh Miếu Vĩnh Long

• Chùa Tiên Châu (Cù lao An Bình)

• Khu lưu niệm Chủ tịch Hội đồng Bộ trưởng Phạm Hùng (Long Hồ)

• Khu lưu niệm Thủ tướng Võ Văn Kiệt (Vũng Liêm)

• Chùa Hạnh Phúc Tăng (Vũng Liêm)

• Chợ Vĩnh Long","Bến Tre, Chợ Lách, Trà Vinh, Cần Thơ, Tiền Giang, Đồng Tháp"
64,Vĩnh Long,Trà Vinh,Cụm lớn,"Khám phá di sản văn hóa đặc sắc dân tộc Khmer Nam Bộ, vãn cảnh quần thể chùa Khmer cổ kính, check-in danh thắng Ao Bà Om, du lịch miệt vườn cù lao dừa sáp và trẩy hội lễ hội Ok Om Bok.","• Thành phố Trà Vinh

• Danh thắng Ao Bà Om (Ao Kuu)

• Chùa Âng (Chùa Angkorajaborey)

• Chùa Hang (Chùa Kompongnikrod)

• Bảo tàng Văn hóa Dân tộc Khmer Trà Vinh

• Cù lao Tân Quy (Cầu Kè - Thủ phủ măng cụt & dừa sáp)

• Cù lao Long Trị

• Nhà cổ Cầu Kè (Nhà cổ Huỳnh Kỳ)

• Chợ Trà Vinh","Duyên Hải, Vĩnh Long, Bến Tre, Sóc Trăng"
65,Vĩnh Long,Duyên Hải,Cụm nhỏ,"Nghỉ dưỡng sinh thái biển Ba Động, check-in cánh đồng điện gió ngút ngàn, thám hiểm rừng ngập mặn ven biển, chiêm bái ngôi chùa Khmer mạ vàng lộng lẫy và thiền viện hướng biển.","• Bãi biển Ba Động (Duyên Hải)

• Cánh đồng Điện gió Duyên Hải / Đông Hải

• Chùa Vàm Ray (Chùa Phật nằm mạ vàng - Trà Cù)

• Khu du lịch sinh thái Rừng ngập mặn Duyên Hải

• Thiền viện Trúc Lâm Trà Vinh

• Chùa Cò (Chùa Nodol - Tra Cù)

• Cảng sông Hậu / Luồng cho tàu biển trọng tải lớn","Trà Vinh, Sóc Trăng"
66,Thành phố Cần Thơ,Cần Thơ,Cụm lớn,"Khám phá thủ phủ miền Tây, trải nghiệm chợ nổi biểu tượng, du lịch di sản kiến trúc, văn hóa bờ sông và ẩm thực đô thị.","• Bến Ninh Kiều

• Chợ nổi Cái Răng

• Nhà cổ Bình Thủy

• Bảo tàng Cần Thơ

• Chợ đêm Ninh Kiều

• Chùa Ong (Quảng Triệu Hội Quán)

• Cầu Cần Thơ

• Công viên Sông Hậu

• Chùa Nam Nhã

• Chùa Phật Học Cần Thơ

• Bảo tàng Quân khu 9","Cụm Phong Điền, Cụm Thốt Nốt, Cụm Bình Minh (Vĩnh Long), Cụm Ngã Bảy (Hậu Giang)"
67,Thành phố Cần Thơ,Phong Điền,Cụm nhỏ,"Trải nghiệm sinh thái miệt vườn trái cây Nam Bộ, đại thiền viện tâm linh và tổ hợp du lịch dã ngoại - văn hóa dân gian.","• Thiền viện Trúc Lâm Phương Nam

• Làng du lịch Mỹ Khánh

• Vườn trái cây Phong Điền

• Khu du lịch sinh thái Ông Đề

• Làng hoa Bà Bộ (Thới Nhựt)

• Di tích Lịch sử Giàn Gừa

• Chợ quê Phong Điền","Cụm Cần Thơ, Cụm Thốt Nốt, Cụm Ngã Bảy (Hậu Giang), Cụm Vị Thanh (Hậu Giang)"
68,Thành phố Cần Thơ,Thốt Nốt,Cụm nhỏ,"Thám hiểm sân chim hoang dã, du lịch sinh thái cù lao giữa sông Hậu và làng nghề làm bánh truyền thống.","• Sân chim Bằng Lăng

• Cù lao Tân Lộc

• Làng nghề bánh tráng Thuận Hưng

• Làng nghề đan lưới Thơm Rơm

• Đình Long Tuyền (Thốt Nốt)","Cụm Cần Thơ, Cụm Phong Điền, Cụm Long Xuyên (An Giang), Cụm Sa Đéc (Đồng Tháp)"
69,Thành phố Cần Thơ,Vị Thanh,Cụm lớn,"Du lịch sinh thái đô thị ven kênh đào lịch sử, di tích chiến thắng rực rỡ và trải nghiệm nông sản đặc sản vùng đất khóm.","• Bờ kè Kênh Xà No

• Di tích Lịch sử Quốc gia Đặc biệt Chiến thắng Chương Thiện

• Khu du lịch sinh thái Khải Hoàn

• Chợ đêm Vị Thanh

• Chùa Aranhwat (Chùa Khmer)

• Cánh đồng khóm Cầu Đúc

• Công viên Hoà Bình","Cụm Ngã Bảy, Cụm Phong Điền (Cần Thơ), Cụm Ngã Năm (Sóc Trăng), Cụm Rạch Giá (Kiên Giang)"
70,Thành phố Cần Thơ,Ngã Bảy,Cụm nhỏ,"Thám hiểm khu bảo tồn thiên nhiên ngập nước Lung Ngọc Hoàng, du lịch chợ nổi giao thoa 7 dòng sông và di sản cây gừa cổ thụ.","• Khu bảo tồn thiên nhiên Lung Ngọc Hoàng

• Chợ nổi Ngã Bảy (Phụng Hiệp)

• Thiền viện Trúc Lâm Hậu Giang

• Di tích Cây Gừa di sản (Phụng Hiệp)

• Trung tâm Nông nghiệp Mùa Xuân

• Khu di tích Căn cứ Tỉnh ủy Hậu Giang","Cụm Vị Thanh, Cụm Cần Thơ, Cụm Phong Điền (Cần Thơ), Cụm Sóc Trăng, Cụm Cầu Kè (Trà Vinh)"
71,Thành phố Cần Thơ,Sóc Trăng,Cụm lớn,"Khám phá quần thể chùa Khmer độc đáo bậc nhất Nam Bộ, tham quan các kiệt tác kiến trúc tâm linh di sản và văn hóa lễ hội.","• Chùa Dơi (Chùa Mã Tộc)

• Chùa Som Rong (Tượng Phật nằm khổng lồ)

• Chùa Chén Kiểu (Chùa Sà Lôn)

• Chùa Đất Sét (Bửu Sơn Tự)

• Chùa Kh'leang

• Bảo tàng Khmer Sóc Trăng

• Chợ Sóc Trăng

• Hồ Nước Ngọt Sóc Trăng

• Chùa Pôthi Thlăng","Cụm Trần Đề, Cụm Vĩnh Châu, Cụm Ngã Năm, Cụm Ngã Bảy (Hậu Giang)"
72,Thành phố Cần Thơ,Trần Đề,Cụm nhỏ,"Du lịch sinh thái cù lao sông nước ngập mặn, trải nghiệm cảng biển kết nối các tuyến đảo khơi xa và bãi biển tự nhiên.","• Cù lao Dung (Khu sinh thái rừng ngập mặn, Sân chim Cù lao Dung)

• Cảng biển Trần Đề

• Bãi biển Mỏ Ó

• Chùa Kinh Kíp

• Đền thờ Bác Hồ (Cù lao Dung)","Cụm Sóc Trăng, Cụm Vĩnh Châu, Cụm Duyên Hải (Trà Vinh - kết nối đường thủy)"
73,Thành phố Cần Thơ,Vĩnh Châu,Cụm nhỏ,"Check-in cánh đồng điện gió bờ biển, du lịch tâm linh ven biển, trải nghiệm bãi biển tự nhiên và làng nghề nông sản.","• Cánh đồng Điện gió Vĩnh Châu

• Khu du lịch Sinh thái Bãi biển Hồ Bể

• Chùa Quan Âm Đông Hải

• Chùa Săm Rông Vĩnh Châu

• Làng nghề trồng hành tím Vĩnh Châu

• Thiền viện Trúc Lâm Sóc Trăng","Cụm Sóc Trăng, Cụm Trần Đề, Cụm Bạc Liêu"
74,Thành phố Cần Thơ,Ngã Năm,Cụm nhỏ,"Trải nghiệm chợ nổi đặc trưng ngã 5 sông giao thoa, tham quan căn cứ chiến khu rừng tràm và hành hương chùa cổ.","• Chợ nổi Ngã Năm

• Di tích Căn cứ Tỉnh ủy Sóc Trăng (Rừng tràm Mỹ Phước)

• Chùa Ô Tùng

• Tượng đài Chiến thắng Ngã Năm","Cụm Sóc Trăng, Cụm Vị Thanh (Hậu Giang), Cụm Phước Long (Bạc Liêu)"
75,Cà Mau,Bạc Liêu,Cụm lớn,"Khám phá di sản Đờn ca tài tử, tham quan nhà cổ giai thoại, check-in cánh đồng điện gió ven biển và chiêm bái di tích tâm linh.","• Nhà Công tử Bạc Liêu

• Khu lưu niệm Nghệ thuật Đờn ca tài tử Nam Bộ và Nhạc sĩ Cao Văn Lầu

• Khu du lịch Quán Âm Phật Đài (Phật Bà Nam Hải)

• Cánh đồng Điện gió Bạc Liêu

• Chùa Xiêm Cán

• Quảng trường Hùng Vương & Biểu tượng Đàn Kìm

• Tháp cổ Vĩnh Hưng (Di tích Óc Eo)

• Khu du lịch Nhà Mát

• Vườn chim Bạc Liêu

• Chợ Bạc Liêu","Giá Rai, Vĩnh Châu (Sóc Trăng), Cà Mau"
76,Cà Mau,Giá Rai,Cụm nhỏ,"Hành hương trung tâm Công giáo linh thiêng bậc nhất Nam Bộ, di tích lịch sử phong trào nông dân và tham quan các ngôi chùa Khmer lộng lẫy.","• Nhà thờ Tắc Sậy (Khu an táng Linh mục Trương Bửu Diệp)

• Di tích Lịch sử Quốc gia Đồng Nọc Nạng

• Chùa Ghositaram (Chùa Cù Lao - Phước Long)

• Vườn chim Phước Long

• Khu du lịch sinh thái đầm dừa nước Phước Long","Bạc Liêu, Cà Mau, Ngã Năm (Sóc Trăng)"
77,Cà Mau,Cà Mau,Cụm lớn,"Trải nghiệm không gian đô thị trung tâm cực Nam, tham quan sân chim tự nhiên lòng thành phố và di tích lịch sử văn hóa.","• Thành phố Cà Mau

• Công viên Văn hóa Cà Mau (Sân chim Cà Mau)

• Chùa Monivongsa Bopharam

• Chùa Bà Thiên Hậu Cà Mau

• Bảo tàng Cà Mau

• Chợ đêm Cà Mau

• Di tích Lịch sử Bến Lộc An","U Minh Hạ, Đất Mũi, Bạc Liêu, Giá Rai"
78,Cà Mau,Đất Mũi,Cụm nhỏ,"Chinh phục mốc tọa độ Cực Nam Tổ quốc, thám hiểm rừng ngập mặn Ramsar thế giới và du lịch sinh thái biển đảo hoang sơ.","• Công viên Văn hóa Du lịch Mũi Cà Mau (Cột mốc tọa độ Quốc gia GPS 0001, Cột cờ Hà Nội tại Đất Mũi, Biểu tượng con tàu Cà Mau)

• Vườn quốc gia Mũi Cà Mau

• Bãi bồi Mũi Cà Mau

• Cụm đảo Hòn Khoai

• Di tích Tượng đài Chuyến tàu Khai Long (Năm Căn)

• Bến tàu du lịch Năm Căn","Cà Mau, U Minh Hạ"
79,Cà Mau,U Minh Hạ,Cụm nhỏ,"Thám hiểm hệ sinh thái rừng tràm ngập nước than bùn, trải nghiệm nghề gác kèo ăn ong, danh thắng núi đá ven biển và đầm tự nhiên.","• Vườn quốc gia U Minh Hạ

• Khu du lịch sinh thái Mười Ngọt (Trải nghiệm gác kèo ăn ong)

• Khu du lịch sinh thái Sông Trẹm

• Danh thắng Hòn Đá Bạc & Di tích Lịch sử Căn cứ K48

• Đầm Thị Tường

• Làng rừng Cà Mau","Cà Mau, Đất Mũi, U Minh Thượng (Kiên Giang)"
80,Khánh Hoà,Nha Trang,Cụm lớn,"Đô thị du lịch biển hiện đại, nghỉ dưỡng đảo cao cấp, di sản văn hóa Chăm Pa và các tổ hợp giải trí ven biển.","• VinWonders Nha Trang (Hòn Tre)

• Bãi biển Nha Trang

• Tháp Bà Ponagar

• Viện Hải dương học Nha Trang

• Chùa Long Sơn

• Nhà thờ Đá Nha Trang (Nhà thờ Núi)

• Hòn Tầm

• Hòn Mun

• Đảo Yến - Hòn Nội

• Hòn Chồng - Hòn Vợ

• Chợ Đầm

• Chợ đêm Nha Trang

• Khu tắm bùn khoáng Tháp Bà / I-Resort

• Bến du lịch Ana Marina","Ninh Hòa, Cam Ranh, Khánh Vĩnh"
81,Khánh Hoà,Vân Phong,Cụm nhỏ,"Thám hiểm vịnh biển hoang sơ, chinh phục Mũi Đôi Cực Đông đất liền, check-in con đường đi bộ giữa biển và các bãi biển tự nhiên.","• Vịnh Vân Phong

• Đảo Điệp Sơn (Con đường dưới biển)

• Mũi Đôi - Hòn Đầu (Cực Đông đất liền Việt Nam)

• Bãi biển Xuân Đừng (Sơn Đừng)

• Bán đảo Hòn Gốm

• Mũi Đầm Môn

• Bãi Bằng Vạn Ninh

• Cánh đồng muối Hòn Khói","Ninh Hòa, Cổ Thạch (Phú Yên)"
82,Khánh Hoà,Ninh Hòa,Cụm lớn,"Tắm biển bãi cát mịn Dốc Lết, khám phá hệ sinh thái đầm Nha Phu, thăm đảo động vật và trekking suối thác tự nhiên.","• Bãi biển Dốc Lết

• Đầm Nha Phu

• Đảo Khỉ (Hòn Lao)

• Đảo Hoa Lan (Hòn Hèo)

• Khu du lịch Thác Ba Hồ

• Bán đảo Hòn Hèo

• Di tích Lịch sử Tàu Không số C235 (Hòn Hèo)

• Chợ Ninh Hòa","Nha Trang, Vân Phong, Khánh Vĩnh"
83,Khánh Hoà,Cam Ranh,Cụm lớn,"Nghỉ dưỡng biển Bãi Dài cao cấp, thám hiểm quần đảo Tứ Bình hoang sơ, thưởng thức tôm hùm và kiến trúc tâm linh san hô.","• Bãi Dài Cam Ranh

• Vịnh Cam Ranh

• Đảo Bình Ba

• Đảo Bình Hưng

• Bán đảo Bình Lập

• Chùa Từ Vân (Chùa Ốc / Chùa San Hô)

• Bãi Tiên Thủy

• Khu di tích Bác Bác - Yersin (Suối Dầu)

• Sân bay Quốc tế Cam Ranh","Nha Trang, Khánh Sơn, Vĩnh Hy, Phan Rang"
84,Khánh Hoà,Khánh Vĩnh,Cụm nhỏ,"Du lịch sinh thái đại ngàn, tắm khoáng nóng thiên nhiên trong rừng, chinh phục đèo núi hùng vĩ và không gian bản địa.","• Khu du lịch sinh thái Thác Yang Bay

• Đèo Khánh Lê (Đèo Omega)

• Khu bảo tồn thiên nhiên Hòn Bà (Nhà làm việc Bác sĩ Yersin)

• Suối Nguồn Hòn Bà

• Thác Lạc Sanh

• Các buôn làng Raglai Khánh Vĩnh","Nha Trang, Ninh Hòa, Khánh Sơn, Đà Lạt (Lâm Đồng)"
85,Khánh Hoà,Khánh Sơn,Cụm nhỏ,"Săn mây cao nguyên Khánh Sơn, khám phá đại thác nguyên sinh, tìm hiểu di sản đàn đá và văn hóa truyền thống Raglai.","• Thác Tà Gụ

• Đồi tím Khánh Sơn

• Di chỉ Đàn đá Khánh Sơn

• Thác Kén

• Thác Cam Anh

• Thung lũng Tà Năng (đoạn Khánh Sơn)

• Buôn làng Raglai Tô Hạp","Cam Ranh, Khánh Vĩnh, Ninh Sơn, Đức Trọng (Lâm Đồng)"
86,Khánh Hoà,Phan Rang,Cụm lớn,"Khám phá di sản kiến trúc Chăm Pa cổ kính, nghỉ dưỡng biển đô thị Ninh Chữ, trải nghiệm làng nghề truyền thống và đồi cát.","• Bãi biển Ninh Chữ

• Bãi biển Bình Sơn

• Tháp Po Klong Garai

• Tháp Po Rome

• Làng gốm Bàu Trúc

• Làng dệt thổ cẩm Mỹ Nghiệp

• Đồi cát Nam Cương

• Đồng cừu An Hòa

• Vườn nho Ba Mọi

• Bảo tàng Ninh Thuận

• Chợ Phan Rang","Vĩnh Hy, Cà Ná, Ninh Sơn, Cam Ranh"
87,Khánh Hoà,Vĩnh Hy,Cụm nhỏ,"Ngoạn cảnh vịnh biển nguyên sơ, thám hiểm Vườn quốc gia Núi Chúa, ngắm thềm san hô cổ Hang Rái và thưởng thức nho tại vườn.","• Vịnh Vĩnh Hy

• Vườn quốc gia Núi Chúa

• Hang Rái

• Vườn nho Thái An

• Bãi Kinh

• Công viên đá Núi Chúa

• Suối Lồ Ồ

• Bãi Thùng","Phan Rang, Cam Ranh"
88,Khánh Hoà,Cà Ná,Cụm nhỏ,"Check-in cung đường biển ngoạn mục, thám hiểm sa mạc cát Mũi Dinh, trải nghiệm xe địa hình và cánh đồng điện gió bờ biển.","• Bãi biển Cà Ná

• Mũi Dinh & Hải đăng Mũi Dinh

• Đồi cát Mũi Dinh

• Khu du lịch Tanyoli

• Cánh đồng Điện gió Thuận Nam

• Bãi Tràng

• Cảng biển Cà Ná

• Bãi Hòn Cò","Phan Rang, Ninh Sơn, Cổ Thạch (Bình Thuận)"
